"ID"	Library_1	Library_10	Library_11	Library_12	Library_2	Library_3	Library_4	Library_5	Library_6	Library_7	Library_8	Library_9
A1BG	0.262193	0.916325	0.904315	1.03555	0.30342	0.339706	0.445281	0.514237	0.305903	0.648874	0.656934	0.816547
A1BG-AS1	0.970419	0.837318	1.38764	1.51185	0.664858	1.05307	0.685633	0.645298	0.994222	1.08942	0.996346	0.865717
A1CF	0.0103266	0.0212174	0.0354915	0.00425699	0.0122949	0.0111711	0.00902164	0.0105126	0.00925534	0.0214581	0.0121195	0.0215398
A2LD1	0.514254	1.52538	0.929157	1.10681	0.417148	0.498825	0.653272	0.404583	0.502093	0.516138	0.424641	1.39639
A2M	0	0.0283904	0.00647592	0.0085442	0.00822571	0	0.374218	0.00527496	0.0092882	0	0.00608129	0
A2ML1	0	0.0127313	0.0116162	0.0076631	0.00737746	0	0	0	0	0	0	0.00646238
A4GALT	0.147519	0.410446	0.720183	0.950986	0.219546	0.398957	0.322193	0.316782	0.216916	0.561453	0.392252	0.304498
A4GNT	0.0217822	0	0	0.0448969	0.0216117	0	0.015858	0.013859	0	0	0	0
AA06	0.0317239	0	0	0	0	0	0	0	0	0	0	0.0551428
AAA1	0.00814726	0.0139497	0.00636393	0.00839645	0	0.00550845	0.0118628	0	0.0290278	0	0.0119523	0.00708083
AAAS	8.22329	8.27074	6.48731	6.94087	7.36195	9.42767	7.77302	10.328	10.3902	10.274	9.32831	7.66206
AACS	5.16947	3.55384	5.64241	5.87783	4.66856	5.38973	4.58368	4.63223	4.95355	5.53326	5.85051	3.63435
AACSP1	0	0.0151979	0.0277335	0	0.0176136	0	0	0	0.00994431	0.026367	0	0
AADAC	0	0.0205636	0.0375248	0	0	0	0	0	0	0	0	0.041752
AADACL2	0.0128588	0.0220167	0.0200883	0.0265041	0.0255162	0.0173879	0	0	0	0	0.0377283	0.0223512
AADACL3	0.0100329	0.00858913	0	0	0	0	0.00730418	0.00638347	0.0112401	0.00745068	0	0.0261589
AADACL4	0	0.0209683	0	0	0	0	0	0	0	0	0	0.0212869
AADAT	6.36779	4.61877	3.29274	3.39322	5.96421	5.36624	5.63486	5.47057	6.6035	4.97744	4.76879	4.3748
AAGAB	13.8055	13.7353	16.1525	15.6404	14.3723	13.4631	13.6086	14.8283	13.6072	14.2925	13.6007	15.4035
AAK1	2.22093	2.3582	2.11306	2.6309	2.39631	1.98559	2.05399	2.12739	2.24768	2.14201	2.10202	2.3976
AAMP	48.1945	34.943	34.3378	33.6982	48.7152	48.2082	41.4602	56.3645	47.482	48.8685	52.2665	32.0863
AANAT	0.0187994	0	0	0.177023	0.146454	0.06817	0.0146809	0.0478448	0.0210614	0.0963585	0.1379	0.0326772
AARS	40.2433	107.842	118.802	118.245	33.4324	45.9489	37.7102	50.4764	48.0694	60.6211	58.8035	102.46
AARS2	3.77342	3.62298	2.74103	2.58351	3.2745	4.28605	3.55401	4.32744	3.80694	4.00828	4.26744	3.36015
AARSD1	9.78531	9.27558	6.32986	6.79178	7.66724	10.7992	9.20876	11.6374	11.3462	11.7081	11.9473	7.96357
AASDH	1.52749	3.3294	3.53717	3.73467	1.38869	1.45992	1.64125	1.34405	1.54919	1.91116	1.66074	3.67384
AASDHPPT	28.2359	20.7303	23.6306	22.8281	20.9883	19.5294	22.596	24.3185	24.0346	20.1157	19.3813	21.2842
AASS	1.04149	2.99335	1.30502	1.30015	1.25821	1.18649	1.33741	0.970348	1.0601	0.849281	1.10469	2.64971
AATF	8.64238	5.58098	6.6902	7.92768	12.9225	10.5563	9.17656	10.4338	11.1258	9.71252	10.0267	6.07074
AATK	0.35591	0.932925	1.49946	1.26507	0.115306	0.427378	0.481207	0.365109	0.268536	0.782603	0.825817	0.845904
ABAT	0.127497	0.531789	0.48625	0.525678	0.173966	0.149219	0.174163	0.116631	0.12498	0.112495	0.198766	0.491797
ABCA1	3.54066	2.90972	4.82357	5.10234	3.18724	3.53131	3.37955	2.84237	2.97842	3.10026	3.22203	2.70764
ABCA10	0.173828	0.292947	0.416026	0.402489	0.194873	0.259541	0.210159	0.124252	0.17817	0.158785	0.170596	0.191588
ABCA11P	5.23928	7.39107	4.68084	4.4358	5.18842	5.4686	4.70222	5.97888	5.77792	5.57746	5.36053	7.29514
ABCA12	0.0106	0.0204168	0.0165563	0.0131064	0.0189295	0.0161243	0.0281972	0.0151808	0	0.0177106	0.00699732	0.0165816
ABCA13	0.00785713	0.00768741	0.00876759	0.0532118	0.0111366	0.00455339	0.0130747	0.0142833	0.00880255	0.013337	0.00493998	0.0039021
ABCA17P	0.110534	0.252341	0.489257	0.569573	0.127946	0.149466	0.147531	0.123074	0.113514	0.239416	0.202695	0.160109
ABCA2	2.48675	3.39162	3.52469	3.76562	3.41033	3.55769	3.53089	3.38446	3.01419	4.76593	5.05546	2.51779
ABCA3	6.46899	6.53683	4.33925	4.63266	5.2052	6.39379	5.61933	6.60709	5.93239	8.8499	8.69159	5.75461
ABCA4	0.00526639	0.00901709	0.0534774	0.0651296	0.0156755	0.010682	0	0	0.0088501	0.00391096	0.00386297	0.0274623
ABCA5	2.93453	3.39727	3.64842	3.85326	2.30073	2.66115	3.14772	2.37429	2.4914	3.34736	2.85579	3.03359
ABCA6	0.0546303	0.0935877	0.102414	0.112602	0.0794971	0.0393985	0.180301	0.0370761	0.048963	0.0973678	0.0801442	0.0506448
