"logFC","logCPM","PValue","FDR"
"PFKFB4",3.36787848717455,4.19376106457345,3.72960041654872e-23,4.53594002660655e-19
"BNIP3",2.6241281253806,6.88263903349018,8.05094963200781e-17,4.89578247122395e-13
"SLC2A1",2.27691113490868,4.30231256542165,7.95861593365379e-16,3.22642289950325e-12
"HK2",1.83450507018233,5.05599784264589,1.08065432549937e-13,3.28572947668084e-10
"ADM",2.50414275991327,4.16819245906933,1.84775035573627e-13,4.49446796529291e-10
"ANGPTL4",3.10616499630522,3.74708508485934,2.43186178274055e-13,4.9293838336151e-10
"SLC16A3",1.89802705253183,4.85909823559778,4.06998865822338e-13,7.07131458018754e-10
"ANKZF1",1.7692239824924,4.46751139743047,2.98630969668359e-12,4.53993731638323e-09
"FAM162A",1.84757115583683,6.8266693169109,4.35226384353841e-12,5.88135920723491e-09
"AK4",1.76505605027846,4.42150411009745,5.45534389812204e-12,6.63478924889602e-09
"PFKP",1.86657679393788,5.17244613461685,1.50314139156149e-11,1.66192778219735e-08
"PGK1",1.53357612396138,7.93585516026602,1.66596735148589e-11,1.68845791073095e-08
"INSIG2",2.43558975353925,3.98839712941526,3.11534559786284e-11,2.91452562778522e-08
"P4HA2",1.80055911527053,5.13212827869541,3.3931319481032e-11,2.9476621966308e-08
"EGLN1",1.6003259767539,4.58067523763999,6.85680005410203e-11,5.55949348386593e-08
"PLOD2",2.32295935559945,4.99131999571134,7.53355871682411e-11,5.72644631962592e-08
"TMEM45A",2.25134623696698,4.18907244051784,4.06498342634173e-10,2.9081369665393e-07
"ENO2",2.24253486004024,5.72059878582357,8.25220241550408e-10,5.47403532201113e-07
"PPFIA4",3.33498253225218,3.13956637176047,8.55177364892382e-10,5.47403532201113e-07
"PFKFB3",1.48698589927892,4.43570897960739,2.25375927833105e-09,1.37051101715311e-06
"DPYSL4",3.05988607478733,3.19131304720303,2.42046511351637e-09,1.40179508145648e-06
"FSCN1",2.12990873873414,3.69575185333512,3.41294265183073e-09,1.85297461076786e-06
"MIR210",4.00189370004189,2.9589879210621,3.50422759806453e-09,1.85297461076786e-06
"BNIP3L",2.77884904723478,5.26374328177151,8.17232165355301e-09,4.14132399793799e-06
"PDK1",1.92008827350772,4.41170630525266,8.89560055676772e-09,4.32753175885636e-06
"PPP1R3C",2.85155113794044,4.11414174546096,1.2585838924985e-08,5.88726819252569e-06
"ALDOC",2.62570823936714,4.61382827750158,1.50587380282919e-08,6.78312488518838e-06
"DDX41",1.33665693356259,5.82119581253106,1.68682821446722e-08,7.32685883726796e-06
"TPI1",1.07660888248041,8.30781797765011,1.78065384240121e-08,7.46769380389089e-06
"TMSB10",1.44787131076723,8.0974634838513,3.61110599210439e-08,1.46394236919912e-05
"C4orf3",1.41279981222156,4.5376147678718,3.8203351645486e-08,1.49880375068516e-05
"P4HA1",1.78813705655567,5.76060232940053,5.06432259923939e-08,1.90863488406276e-05
"KDM3A",1.7808031443841,4.86240627507589,5.17883170317967e-08,1.90863488406276e-05
"GBE1",1.49466273789835,4.61169290394064,6.38134945705052e-08,2.28264623813672e-05
"C7orf68",1.39020880515658,4.35976722233746,7.1726464478664e-08,2.49239217425575e-05
"RIMKLA",3.28366144587719,2.86454921299075,2.31962328897127e-07,7.83646067790793e-05
"ANKRD37",3.01244351453975,3.00975928582802,2.63500724297858e-07,8.66134002408257e-05
"ENO1",1.05872532772625,9.06735638206083,2.96366104984094e-07,9.48527518109617e-05
"GYS1",1.15945167121753,4.65103129105257,3.11269965376683e-07,9.70683415105439e-05
"CDK2AP2",1.35059080488493,4.25784806363269,3.46718981911247e-07,0.000105419906450115
"HMOX1",1.74547835630115,4.2418233660318,4.9381917124914e-07,0.000145153809703783
"SEC61G",1.12136416965475,6.64144023401821,5.01271173126038e-07,0.000145153809703783
"FUT11",1.48259710452728,3.97166643004654,6.89937834669019e-07,0.00019283555728891
"SAP30",1.18090475040551,4.47293001016991,6.97645495865156e-07,0.00019283555728891
"STC2",1.90454679546133,4.5143400759931,7.54790191886141e-07,0.000203994629193761
"GLRX",1.64357468294307,4.3663002356902,1.16379056436946e-06,0.000307696105301335
"EFNA3",1.94850985315824,3.4283668210087,1.21107250941834e-06,0.000313384337437145
"PDK3",1.63972621088416,3.76959011301936,1.25740984101307e-06,0.000318596218466688
"LDHA",1.08571175496172,8.96654477094206,1.29936865585329e-06,0.000319376081222407
"NRN1",2.59886823763088,3.36948486152196,1.31300806291074e-06,0.000319376081222407
"H19",1.63411796959672,3.74246910840901,1.47876633966461e-06,0.000352642278882373
"KIAA1244",1.95503731559321,3.44338142308003,2.06570067289866e-06,0.000483135607380644
"CA9",4.75472798653638,2.5514116491742,3.05848765975459e-06,0.000701836356942177
"PLOD1",0.981534526990407,5.65601655702644,3.43620145768542e-06,0.00077390892830315
"GAPDH",0.854154911724602,10.9986521758614,4.42461504763803e-06,0.000974269841502095
"PFKL",1.09770181644816,4.9631211926182,4.48603117284306e-06,0.000974269841502095
"WDR45L",1.00919858332996,5.54485958293954,6.18773876483747e-06,0.0013043113828463
"VKORC1",1.23406406560572,5.5170825074439,6.22019899729367e-06,0.0013043113828463
"SLC35E1",1.15075830597989,4.28595400200977,7.39620486836125e-06,0.0015246210781188
"PLEKHA2",2.46308973969624,3.01082590231873,9.09772308662722e-06,0.00184410846965934
"ALDOA",0.944394636635363,8.89930948931261,1.02298120919329e-05,0.00203958974855881
"S100A4",1.12100069232619,4.34467239418385,1.17776813394402e-05,0.00231032516855278
"NPPB",5.07094260074646,2.68558980358515,1.43050759728455e-05,0.00276156085685312
"PLIN2",1.14379019298041,4.90820893103699,1.65908409761451e-05,0.00315277824924806
"SNORD81",1.27807144554143,3.93172085717539,2.33698724772761e-05,0.00437268290874818
"ZNF511",1.00783644832327,5.07708920492361,2.63494869418088e-05,0.00485549182100423
"STBD1",1.80491450455015,3.31394956993048,3.08457625288293e-05,0.00559919647575554
"CKB",1.40543710456866,3.96038155419117,3.56080400989393e-05,0.00636860270122499
"TNIP1",1.34789771965295,3.81213387368895,3.81155801956877e-05,0.00671828530927469
"KIAA1715",1.52202329819375,3.53325554839784,3.99829738235668e-05,0.00694675610917456
"RRAGD",2.36177681507991,3.84481747132174,4.71325159094359e-05,0.0080736008238107
"ERO1L",1.21321498565613,5.35114218666347,4.99144199400589e-05,0.00843137743487496
"CSRP2",1.27842335104588,3.9816066649619,6.37299768732515e-05,0.0106175887497601
"ZNF160",1.38244314507117,3.65467522099397,7.22845663584056e-05,0.0118800661628504
"WSB1",1.16834021728786,5.08773305812293,7.34694140938669e-05,0.0119138001894615
"RAB20",3.46387985745492,2.36852443252348,7.6789254775227e-05,0.0122883015338988
"MIR10A",1.79662478066031,4.41728369337029,8.85471646661397e-05,0.0139858521645401
"JUN",1.14858278453096,4.15455640602874,9.08507029617816e-05,0.0141657211464255
"PKM2",0.895513170717612,8.37656955303761,0.000103456147170436,0.0159270083783145
"FOXD1",1.95713422300281,3.03759735342994,0.000107723866457538,0.0163767207982072
"BHLHE40",0.954893115398912,4.54358499783838,0.000118858063662981,0.0178463181514713
"HPCAL4",2.41057237471923,2.77810128591654,0.000120345769143983,0.0178493322479161
"WDR54",1.25913162689557,4.46007520226787,0.000123722403781896,0.018129058732475
"C3orf58",0.948424916811171,4.41528992672655,0.000129211055515877,0.0185825365816717
"PEX3",1.29615746832682,3.67145722960705,0.000130334983012744,0.0185825365816717
"UPK1A",3.44732083516796,2.39799763939123,0.000131400932907726,0.0185825365816717
"HIST1H2AB",-0.705196464797393,6.70182384029178,0.000135730245782606,0.0189741522897477
"PDXP",0.859762911934985,4.86744726113169,0.00013959135544503,0.0192921598286643
"PPME1",0.844368768741641,4.87155701752127,0.000150100726973788,0.0205115173197214
"UNC119",1.15965127413103,3.93038322135892,0.000153930467591377,0.0206287577507679
"VLDLR",2.61073824880367,3.41670284290679,0.00015435100767307,0.0206287577507679
"GPT2",1.11907178037315,4.32655392416896,0.000164382103981702,0.0217305994415811
"PAM",1.12918348434387,4.09139838014664,0.000171650542831145,0.0224474613108858
"SMYD2",0.939303689472675,4.8114855471417,0.000190947221766705,0.0247053203311348
"ZNF292",1.14971260451326,3.8669741311188,0.00022616141963306,0.0289132064607356
"LOXL2",2.25323066288189,2.74114162966109,0.000228224619324998,0.0289132064607356
"RLF",1.00906429453694,4.15320445498453,0.000286935535810641,0.0359763916137012
"MXI1",1.94368025644124,3.9164102983533,0.000295657854467687,0.0366917431228164
"DDT",0.819054494523313,5.37447670938625,0.000314976190309022,0.0384401298810416
